#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	2.379516e+00	1.212140e-09	8.590316e-10	1.888739e-10
2        	1.596092e+00	8.130589e-10	5.762069e-10	1.266897e-10
4        	1.099899e+00	5.602950e-10	3.970756e-10	8.730435e-11
7        	6.896017e-01	3.512872e-10	2.489538e-10	5.473706e-11
19       	2.613902e-01	1.331537e-10	9.436474e-11	2.074782e-11
32       	1.984432e-01	1.010882e-10	7.164020e-11	1.575141e-11
64       	1.332317e-01	6.786902e-11	4.809811e-11	1.057525e-11
128      	6.869540e-02	3.499385e-11	2.479980e-11	5.452690e-12
256      	5.832283e-02	2.970999e-11	2.105518e-11	4.629368e-12
512      	3.865897e-02	1.969311e-11	1.395632e-11	3.068552e-12
1024     	2.347045e-02	1.195599e-11	8.473091e-12	1.862964e-12
2048     	1.636237e-02	8.335089e-12	5.906996e-12	1.298761e-12
4096     	1.056662e-02	5.382700e-12	3.814667e-12	8.387245e-13
8192     	7.390628e-03	3.764830e-12	2.668098e-12	5.866303e-13
16384    	4.523926e-03	2.304515e-12	1.633187e-12	3.590861e-13
