#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	5.126399e-01	1.788408e-09	4.173284e-10	7.083965e-11
2        	2.566190e-01	8.952473e-10	2.089077e-10	3.546115e-11
4        	1.913455e-01	6.675327e-10	1.557700e-10	2.644127e-11
8        	1.221073e-01	4.259864e-10	9.940473e-11	1.687351e-11
16       	6.160474e-02	2.149158e-10	5.015102e-11	8.512912e-12
32       	4.885667e-02	1.704426e-10	3.977310e-11	6.751307e-12
64       	3.003292e-02	1.047736e-10	2.444911e-11	4.150128e-12
128      	2.033861e-02	7.095376e-11	1.655719e-11	2.810510e-12
256      	1.155309e-02	4.030438e-11	9.405104e-12	1.596475e-12
512      	7.696507e-03	2.685022e-11	6.265551e-12	1.063549e-12
1024     	4.589471e-03	1.601094e-11	3.736184e-12	6.342006e-13
2048     	3.134802e-03	1.093615e-11	2.551971e-12	4.331857e-13
4096     	2.249516e-03	7.847716e-12	1.831280e-12	3.108516e-13
8192     	1.518255e-03	5.296622e-12	1.235977e-12	2.098016e-13
16384    	1.003327e-03	3.500230e-12	8.167854e-13	1.386457e-13
