#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	1.252039e+00	2.853120e-09	8.553506e-10	1.529633e-10
2        	6.056525e-01	1.380149e-09	4.137614e-10	7.399342e-11
4        	3.901863e-01	8.891485e-10	2.665621e-10	4.766961e-11
8        	1.985040e-01	4.523468e-10	1.356112e-10	2.425151e-11
16       	1.133371e-01	2.582703e-10	7.742809e-11	1.384656e-11
32       	8.507539e-02	1.938681e-10	5.812064e-11	1.039378e-11
64       	5.633005e-02	1.283638e-10	3.848279e-11	6.881923e-12
128      	3.310382e-02	7.543631e-11	2.261541e-11	4.044341e-12
256      	2.368790e-02	5.397950e-11	1.618277e-11	2.893984e-12
512      	1.281578e-02	2.920433e-11	8.755306e-12	1.565722e-12
1024     	9.606258e-03	2.189055e-11	6.562672e-12	1.173610e-12
2048     	5.714381e-03	1.302182e-11	3.903872e-12	6.981340e-13
4096     	4.122571e-03	9.394431e-12	2.816401e-12	5.036603e-13
8192     	2.424433e-03	5.524749e-12	1.656291e-12	2.961964e-13
16384    	1.675971e-03	3.819169e-12	1.144967e-12	2.047558e-13
