#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	7.128321e-01	1.624387e-09	4.869828e-10	8.708770e-11
2        	3.785094e-01	8.625395e-10	2.585849e-10	4.624303e-11
4        	2.421793e-01	5.518734e-10	1.654488e-10	2.958739e-11
8        	1.347503e-01	3.070662e-10	9.205685e-11	1.646263e-11
16       	7.139926e-02	1.627032e-10	4.877757e-11	8.722949e-12
32       	5.300429e-02	1.207851e-10	3.621074e-11	6.475609e-12
64       	3.257437e-02	7.422981e-11	2.225371e-11	3.979657e-12
128      	2.335417e-02	5.321900e-11	1.595478e-11	2.853212e-12
256      	1.353501e-02	3.084331e-11	9.246662e-12	1.653591e-12
512      	9.018230e-03	2.055056e-11	6.160951e-12	1.101770e-12
1024     	6.063125e-03	1.381653e-11	4.142122e-12	7.407405e-13
2048     	3.378554e-03	7.698981e-12	2.308114e-12	4.127628e-13
4096     	2.299487e-03	5.240025e-12	1.570932e-12	2.809316e-13
8192     	1.627745e-03	3.709272e-12	1.112020e-12	1.988639e-13
16384    	1.102650e-03	2.512696e-12	7.532933e-13	1.347123e-13
