event_id,long,lat,eiso,dist,angle,time_utc,seen,obs_time,end_time
385,5.159,-0.685,4.86e+51,284000.0,88.067,2012-07-28 10:23:43.731,False,-1,-1
386,2.111,0.311,5.6699999999999995e+51,1010000.0,35.157,2012-04-03 04:23:50.283,True,1482,1542
387,3.489,0.081,2.2599999999999998e+51,511000.0,30.58,2012-08-11 21:37:39.479,True,241,301
388,0.471,0.394,3.87e+50,878000.0,33.376,2012-05-16 18:42:38.348,True,1,61
389,5.226,1.038,2.63e+52,5990000.0,71.188,2012-04-10 11:30:16.704,False,-1,-1
390,2.943,-1.323,1.05e+50,682000.0,35.522,2012-06-11 18:39:05.099,True,1,61
391,5.334,-1.381,4.8800000000000005e+50,1570000.0,17.803,2011-11-13 14:03:30.437,True,34,94
392,5.164,-1.418,1.43e+51,1010000.0,42.465,2012-02-12 01:21:24.931,False,-1,-1
393,1.37,0.131,4.2000000000000003e+48,346000.0,69.682,2012-06-02 05:39:48.558,False,-1,-1
394,5.082,-0.59,4.5300000000000003e+49,247000.0,28.942,2011-12-16 22:51:44.369,True,75,135
395,5.376,0.235,1.8e+49,328000.0,53.92,2012-08-15 13:48:26.449,False,-1,-1
396,0.711,0.066,5.680000000000001e+50,663000.0,14.607,2012-03-31 22:53:17.100,True,1,61
397,2.41,0.647,7.19e+48,205000.0,84.724,2011-12-23 11:51:44.341,False,-1,-1
398,4.651,-0.666,9.03e+49,601000.0,37.314,2011-10-23 07:49:20.002,True,7,67
399,5.259,1.045,6.66e+48,594000.0,42.94,2012-05-08 07:27:28.906,True,1014,1074
400,2.058,0.503,2.84e+51,607000.0,34.4,2011-11-28 04:26:02.460,False,-1,-1
401,4.128,-0.345,6.67e+47,241000.0,71.271,2011-12-06 23:30:08.056,False,-1,-1
402,5.968,0.369,1.43e+50,631000.0,36.851,2012-02-09 11:28:57.804,False,-1,-1
403,0.353,0.956,9.72e+50,630000.0,6.899,2012-01-30 03:23:18.421,True,1,61
404,5.119,-0.575,5.7e+49,488000.0,58.11,2012-05-17 18:45:19.092,False,-1,-1
405,4.899,-0.358,2.09e+51,930000.0,54.055,2012-06-12 18:30:21.170,False,-1,-1
406,1.453,0.403,9.03e+49,451000.0,46.642,2012-03-31 16:49:49.296,True,1,61
407,3.147,-1.07,1.3200000000000001e+50,2870000.0,28.725,2011-09-21 06:43:44.658,True,1,61
408,4.928,0.064,3.61e+48,1140000.0,35.969,2011-10-10 00:30:22.113,True,1,61
409,3.257,-0.944,1.95e+48,324000.0,24.806,2012-08-14 07:30:37.939,True,363,423
410,4.637,-1.259,3.07e+51,5880000.0,40.155,2011-10-07 01:53:55.135,False,-1,-1
411,4.706,0.182,1.67e+48,224000.0,55.139,2011-11-18 04:09:42.191,False,-1,-1
412,5.725,0.068,3.89e+48,816000.0,36.892,2011-10-11 08:18:39.453,True,948,1008
413,5.873,0.192,9.72e+50,602000.0,15.836,2011-11-27 22:14:32.506,True,1007,1067
414,0.989,0.105,9e+50,411000.0,33.916,2011-11-06 16:34:08.738,True,1,61
415,5.659,1.287,2.4399999999999998e+51,1250000.0,2.505,2011-10-13 06:51:54.945,True,1,61
416,0.619,1.064,5.26e+50,476000.0,37.105,2012-06-29 23:32:45.196,False,-1,-1
417,5.387,-0.232,1.0499999999999999e+51,463000.0,14.945,2012-03-22 03:48:44.605,True,1,61
418,4.673,-0.61,3.6e+49,1350000.0,25.841,2012-06-10 12:51:47.135,True,1,61
419,2.17,0.992,1.54e+51,654000.0,85.069,2011-11-02 13:50:22.199,False,-1,-1
420,1.173,-0.376,7.14e+51,11700000.0,72.828,2012-01-27 12:03:56.684,False,-1,-1
421,2.293,1.407,4.8800000000000005e+50,794000.0,29.593,2012-07-31 23:00:34.610,True,70,130
422,3.175,-0.577,2.2599999999999998e+51,113000.0,81.165,2012-02-07 02:31:59.207,False,-1,-1
423,4.048,-0.873,1.43e+51,1060000.0,14.798,2012-03-29 15:21:56.354,True,1,61
424,6.015,0.744,7.150000000000001e+50,449000.0,38.859,2011-12-21 08:08:27.310,True,1,61
425,3.077,-0.693,5.3e+47,495000.0,56.13,2011-12-15 21:43:12.372,False,-1,-1
426,1.833,-0.372,2.28e+48,540000.0,21.879,2012-01-11 17:36:40.944,False,-1,-1
427,2.54,-1.103,3.58e+51,4120000.0,31.584,2012-09-07 06:29:03.348,False,-1,-1
428,4.987,0.374,2.27e+49,383000.0,52.475,2012-06-17 00:42:25.374,False,-1,-1
429,3.452,-0.46,9e+50,222000.0,47.317,2011-10-12 18:46:44.336,False,-1,-1
430,2.876,0.198,2.2599999999999998e+51,937000.0,14.578,2012-01-21 06:18:51.148,True,375,435
431,5.726,-0.176,3.86e+51,796000.0,33.627,2011-10-24 00:25:42.734,False,-1,-1
432,4.348,0.984,2.63e+51,436000.0,23.704,2011-11-30 17:13:49.698,True,1,61
433,5.095,0.733,9e+50,1140000.0,40.599,2012-04-19 04:00:22.771,False,-1,-1
434,5.558,-0.922,6.14e+50,1510000.0,38.393,2011-11-19 14:39:49.012,False,-1,-1
435,3.175,-0.097,3.07e+51,8640000.0,33.607,2012-01-23 00:26:57.656,False,-1,-1
436,0.277,-0.409,5.74e+46,808000.0,9.886,2012-02-16 20:58:36.743,True,1,61
437,5.047,-0.366,1.67e+50,500000.0,38.246,2012-01-24 19:07:25.552,True,1,61
438,1.683,0.667,2.86e+49,443000.0,41.251,2011-10-12 03:27:11.360,False,-1,-1
439,5.241,-1.449,2.28e+47,893000.0,50.23,2011-10-25 20:01:55.267,False,-1,-1
440,2.147,-0.68,8.36e+49,960000.0,33.019,2012-06-13 06:23:33.220,False,-1,-1
441,2.63,0.479,2.2599999999999998e+51,455000.0,65.104,2012-02-28 10:09:48.648,False,-1,-1
442,0.927,-0.604,3.59e+50,620000.0,38.24,2011-12-09 12:31:53.464,False,-1,-1
443,4.133,-1.188,9.749999999999989e+49,637000.0,5.51,2012-04-14 00:24:30.495,True,1,61
444,3.972,-0.138,7.17e+49,1080000.0,2.686,2011-12-18 03:06:42.827,True,1,61
445,3.209,-0.949,9e+50,894000.0,41.044,2011-11-06 09:44:03.194,False,-1,-1
446,1.709,-0.109,1.1299999999999999e+51,289000.0,64.558,2012-06-04 02:59:00.870,True,1,61
447,4.162,-0.819,3.6e+49,976000.0,16.393,2012-04-12 03:20:58.638,True,1,61
448,3.919,0.382,7.19e+48,583000.0,54.222,2012-01-30 11:41:20.118,False,-1,-1
449,5.629,-0.723,1.0499999999999999e+51,962000.0,50.763,2012-05-22 02:00:58.154,False,-1,-1
450,4.947,-1.039,1.9399999999999998e+51,719000.0,50.09,2012-05-05 21:23:40.424,False,-1,-1
451,0.015,-0.939,2.09e+51,216000.0,22.448,2012-06-12 22:24:29.271,True,330,390
452,2.517,-0.438,4.89e+49,3620000.0,76.921,2012-04-11 09:29:54.935,False,-1,-1
453,1.152,-0.417,5.28e+49,571000.0,14.426,2011-12-18 10:31:06.918,True,31,91
454,2.823,-0.59,7.17e+49,684000.0,25.707,2012-01-06 22:23:39.437,False,-1,-1
455,1.013,-0.183,3.07e+51,501000.0,37.618,2012-06-24 13:42:01.534,True,1,61
456,3.844,-0.717,8.36e+49,553000.0,72.326,2012-03-12 02:48:49.287,False,-1,-1
457,0.845,-0.112,1.3300000000000002e+49,128000.0,74.31,2011-10-28 13:56:32.129,False,-1,-1
458,6.25,-1.172,5.25e+51,531000.0,85.445,2012-08-28 04:00:23.820,False,-1,-1
459,4.356,0.911,2.2599999999999998e+51,833000.0,59.916,2012-05-04 10:16:28.276,False,-1,-1
460,5.418,1.33,1.05e+49,317000.0,37.972,2012-04-10 16:42:07.744,False,-1,-1
