duration,loge,emin,emax,crab_flux,photon_flux,energy_flux,sensitivity,regcoeff,nevents,npred,duration,model_prefactor,model_prefactor_error,model_index,model_index_error,model_pivot,model_pivot_error,background_prefactor,background_prefactor_error,background_index,background_index_error,background_pivot,background_pivot_error
1,-0.2614393726401687,0.03,10.0,2.854920534677171,9.959745893074713e-09,9.123873148179819e-10,4.118300328798376e-11,0.954708386359967,220.0,219.99300657874903,1,2.57154572670939e-08,1.05885090574879e-08,-3.1,0,1000,0,0.832257926994113,0.19197378673983,-0.0914895201596113,0.092233163611427,1000000,0
10,-0.2614393726401687,0.03,10.0,0.8814896939914665,3.075186595521809e-09,2.8171012298650295e-10,1.2715727994887731e-11,0.9956872944108937,2197.0,2196.9999646555966,10,7.32137474881073e-09,2.23730532196184e-09,-3.1,0,1000,0,1.08570592035134,0.0684897541600426,0.0114212080138488,0.0255566557483774,1000000,0
100,-0.2614393726401687,0.03,10.0,0.1842854505734432,6.429027488535058e-10,5.889470665345112e-11,2.65836762344486e-12,0.998849394779133,20716.0,20715.999906974095,100,1.67200347243192e-09,4.36322642709768e-10,-3.1,0,1000,0,1.03292104620048,0.0214643353275775,0.0121128357813997,0.00842813105230229,1000000,0
1000,-0.2614393726401687,0.03,10.0,0.0560269964008741,1.9545715564654668e-10,1.790533928444025e-11,8.082046238999668e-13,0.9853226099137502,205875.0,205874.9997964012,1000,6.28475168283348e-10,1.21289679571777e-10,-3.1,0,1000,0,0.995420125952638,0.00662949202392748,-0.00172378748492396,0.00269382030768323,1000000,0
10000,-0.2614393726401687,0.03,10.0,0.0172850974306482,6.030121541220489e-11,5.524042942547152e-12,2.493422200979061e-13,0.9998423235027378,2059761.0,2059760.999616462,10000,1.35897007458765e-10,3.30945110305113e-11,-3.1,0,1000,0,1.00011543401244,0.00209377601823618,-0.000212462346332081,0.000846530349118195,1000000,0
