#Obs time   crab_flux       photon_flux     energy_flux     sensitivity
#s          crab units      ph/cm2/s        erg/cm2/s       erg/cm2/s  
1        	9.783598e-01	3.413130e-09	7.964604e-10	1.351956e-10
2        	4.520504e-01	1.577034e-09	3.680039e-10	6.246703e-11
4        	3.468155e-01	1.209909e-09	2.823346e-10	4.792505e-11
8        	2.162982e-01	7.545832e-10	1.760834e-10	2.988938e-11
16       	1.168716e-01	4.077210e-10	9.514247e-11	1.615001e-11
32       	7.620274e-02	2.658428e-10	6.203491e-11	1.053015e-11
64       	5.333107e-02	1.860521e-10	4.341561e-11	7.369607e-12
128      	2.859545e-02	9.975878e-11	2.327890e-11	3.951490e-12
256      	1.929663e-02	6.731870e-11	1.570895e-11	2.666524e-12
512      	1.247904e-02	4.353468e-11	1.015890e-11	1.724428e-12
1024     	7.913667e-03	2.760781e-11	6.442336e-12	1.093558e-12
2048     	5.021951e-03	1.751970e-11	4.088256e-12	6.939633e-13
4096     	3.433473e-03	1.197810e-11	2.795112e-12	4.744579e-13
8192     	2.267527e-03	7.910550e-12	1.845942e-12	3.133404e-13
16384    	1.479830e-03	5.162570e-12	1.204696e-12	2.044917e-13
