#Obs time   crab_flux       photon_flux     energy_flux     sensitivity
#s          crab units      ph/cm2/s        erg/cm2/s       erg/cm2/s  
1        	7.127549e-01	1.624211e-09	4.869301e-10	8.707828e-11
2        	3.784854e-01	8.624849e-10	2.585685e-10	4.624010e-11
4        	2.421818e-01	5.518789e-10	1.654504e-10	2.958769e-11
8        	1.347381e-01	3.070384e-10	9.204852e-11	1.646114e-11
16       	7.139894e-02	1.627025e-10	4.877735e-11	8.722911e-12
32       	5.300601e-02	1.207890e-10	3.621192e-11	6.475819e-12
64       	3.257693e-02	7.423565e-11	2.225546e-11	3.979970e-12
128      	2.335492e-02	5.322073e-11	1.595530e-11	2.853304e-12
256      	1.353485e-02	3.084294e-11	9.246553e-12	1.653572e-12
512      	9.018218e-03	2.055053e-11	6.160942e-12	1.101768e-12
1024     	5.314155e-03	1.210979e-11	3.630451e-12	6.492378e-13
2048     	3.378620e-03	7.699130e-12	2.308159e-12	4.127708e-13
4096     	2.299529e-03	5.240121e-12	1.570961e-12	2.809368e-13
8192     	1.627687e-03	3.709140e-12	1.111981e-12	1.988568e-13
16384    	1.102523e-03	2.512407e-12	7.532065e-13	1.346968e-13
