#Obs time   crab_flux       photon_flux     energy_flux     sensitivity
#s          crab units      ph/cm2/s        erg/cm2/s       erg/cm2/s  
1        	5.125757e-01	1.788184e-09	4.172761e-10	7.083077e-11
2        	2.565800e-01	8.951114e-10	2.088759e-10	3.545576e-11
4        	1.913479e-01	6.675410e-10	1.557720e-10	2.644160e-11
8        	1.220951e-01	4.259438e-10	9.939480e-11	1.687183e-11
16       	6.160114e-02	2.149032e-10	5.014808e-11	8.512414e-12
32       	4.885434e-02	1.704344e-10	3.977120e-11	6.750984e-12
64       	3.003033e-02	1.047645e-10	2.444700e-11	4.149770e-12
128      	2.033782e-02	7.095100e-11	1.655655e-11	2.810401e-12
256      	1.155245e-02	4.030214e-11	9.404582e-12	1.596386e-12
512      	7.696131e-03	2.684891e-11	6.265245e-12	1.063497e-12
1024     	4.589131e-03	1.600976e-11	3.735907e-12	6.341536e-13
2048     	3.134568e-03	1.093533e-11	2.551780e-12	4.331534e-13
4096     	2.249254e-03	7.846804e-12	1.831067e-12	3.108154e-13
8192     	1.518052e-03	5.295914e-12	1.235812e-12	2.097735e-13
16384    	1.003059e-03	3.499296e-12	8.165673e-13	1.386087e-13
