#Obs time   crab_flux       photon_flux     energy_flux     sensitivity
#s          crab units      ph/cm2/s        erg/cm2/s       erg/cm2/s  
1        	1.251804e+00	2.852586e-09	8.551905e-10	1.529347e-10
2        	6.054806e-01	1.379757e-09	4.136440e-10	7.397243e-11
4        	3.901498e-01	8.890654e-10	2.665372e-10	4.766515e-11
8        	1.984466e-01	4.522162e-10	1.355721e-10	2.424451e-11
16       	1.133186e-01	2.582282e-10	7.741547e-11	1.384430e-11
32       	8.507114e-02	1.938584e-10	5.811774e-11	1.039326e-11
64       	5.632990e-02	1.283634e-10	3.848269e-11	6.881904e-12
128      	3.309474e-02	7.541561e-11	2.260921e-11	4.043231e-12
256      	2.368829e-02	5.398041e-11	1.618304e-11	2.894033e-12
512      	1.281295e-02	2.919790e-11	8.753378e-12	1.565377e-12
1024     	9.606305e-03	2.189065e-11	6.562704e-12	1.173616e-12
2048     	5.713169e-03	1.301905e-11	3.903045e-12	6.979860e-13
4096     	4.121821e-03	9.392722e-12	2.815889e-12	5.035687e-13
8192     	2.473466e-03	5.636485e-12	1.689789e-12	3.021869e-13
16384    	1.674713e-03	3.816302e-12	1.144107e-12	2.046021e-13
