#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	1.349677e+00	4.708518e-09	1.098742e-09	1.865065e-10
2        	5.518133e-01	1.925070e-09	4.492186e-10	7.625287e-11
4        	3.845341e-01	1.341495e-09	3.130404e-10	5.313722e-11
8        	2.698739e-01	9.414886e-10	2.196982e-10	3.729279e-11
16       	1.199542e-01	4.184753e-10	9.765200e-11	1.657599e-11
32       	1.082177e-01	3.775308e-10	8.809753e-11	1.495416e-11
64       	7.007285e-02	2.444579e-10	5.704471e-11	9.683086e-12
128      	4.917965e-02	1.715693e-10	4.003603e-11	6.795939e-12
256      	3.099087e-02	1.081155e-10	2.522896e-11	4.282504e-12
512      	1.876776e-02	6.547366e-11	1.527840e-11	2.593441e-12
1024     	1.317505e-02	4.596280e-11	1.072551e-11	1.820607e-12
2048     	9.288579e-03	3.240436e-11	7.561620e-12	1.283551e-12
4096     	5.792813e-03	2.020895e-11	4.715796e-12	8.004855e-13
8192     	4.077959e-03	1.422647e-11	3.319773e-12	5.635168e-13
16384    	2.774737e-03	9.680016e-12	2.258850e-12	3.834298e-13
