#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	9.241328e-01	1.959149e-09	6.126949e-10	1.105704e-10
2        	5.408225e-01	1.146536e-09	3.585623e-10	6.470816e-11
4        	2.904794e-01	6.158123e-10	1.925862e-10	3.475519e-11
8        	1.907595e-01	4.044076e-10	1.264725e-10	2.282394e-11
16       	8.342771e-02	1.768656e-10	5.531211e-11	9.981933e-12
32       	6.600280e-02	1.399250e-10	4.375949e-11	7.897082e-12
64       	4.934592e-02	1.046127e-10	3.271607e-11	5.904125e-12
128      	3.133682e-02	6.643362e-11	2.077613e-11	3.749378e-12
256      	2.064411e-02	4.376523e-11	1.368693e-11	2.470020e-12
512      	1.408476e-02	2.985950e-11	9.338120e-12	1.685210e-12
1024     	9.503510e-03	2.014731e-11	6.300773e-12	1.137073e-12
2048     	5.758004e-03	1.220689e-11	3.817524e-12	6.889319e-13
4096     	3.692106e-03	7.827213e-12	2.447846e-12	4.417520e-13
8192     	2.652903e-03	5.624118e-12	1.758860e-12	3.174138e-13
16384    	1.905245e-03	4.039092e-12	1.263167e-12	2.279581e-13
