#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	3.213094e+00	8.583953e-10	8.705241e-10	2.121788e-10
2        	1.721790e+00	4.599853e-10	4.664847e-10	1.136995e-10
4        	1.147477e+00	3.065547e-10	3.108862e-10	7.577441e-11
8        	7.222395e-01	1.929501e-10	1.956764e-10	4.769355e-11
16       	4.099323e-01	1.095156e-10	1.110630e-10	2.707015e-11
32       	3.058020e-01	8.169664e-11	8.285098e-11	2.019383e-11
64       	1.638775e-01	4.378074e-11	4.439934e-11	1.082175e-11
128      	8.976566e-02	2.398137e-11	2.432022e-11	5.927733e-12
256      	7.537001e-02	2.013550e-11	2.042001e-11	4.977107e-12
512      	4.546053e-02	1.214502e-11	1.231663e-11	3.002016e-12
1024     	2.991503e-02	7.991961e-12	8.104884e-12	1.975459e-12
2048     	2.122220e-02	5.669625e-12	5.749734e-12	1.401422e-12
4096     	1.241979e-02	3.318012e-12	3.364895e-12	8.201486e-13
8192     	9.011414e-03	2.407447e-12	2.441464e-12	5.950746e-13
16384    	6.082502e-03	1.624973e-12	1.647933e-12	4.016619e-13
