#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	8.304558e-01	2.897148e-09	6.760551e-10	1.147573e-10
2        	5.525969e-01	1.927803e-09	4.498565e-10	7.636115e-11
4        	4.178353e-01	1.457671e-09	3.401502e-10	5.773898e-11
8        	2.630780e-01	9.177804e-10	2.141658e-10	3.635369e-11
16       	1.344290e-01	4.689722e-10	1.094356e-10	1.857620e-11
32       	1.125643e-01	3.926947e-10	9.163604e-11	1.555481e-11
64       	7.364615e-02	2.569238e-10	5.995365e-11	1.017687e-11
128      	4.344044e-02	1.515474e-10	3.536387e-11	6.002860e-12
256      	2.599362e-02	9.068198e-11	2.116081e-11	3.591954e-12
512      	1.830653e-02	6.386461e-11	1.490293e-11	2.529706e-12
1024     	1.219613e-02	4.254771e-11	9.928590e-12	1.685334e-12
2048     	7.732023e-03	2.697413e-11	6.294463e-12	1.068457e-12
4096     	5.438286e-03	1.897214e-11	4.427185e-12	7.514949e-13
8192     	3.635844e-03	1.268410e-11	2.959858e-12	5.024227e-13
16384    	2.474756e-03	8.633495e-12	2.014642e-12	3.419766e-13
