#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	3.659546e+00	1.864195e-09	1.321137e-09	2.904761e-10
2        	1.898558e+00	9.671368e-10	6.854004e-10	1.506978e-10
4        	9.971849e-01	5.079719e-10	3.599947e-10	7.915144e-11
7        	7.079467e-01	3.606322e-10	2.555765e-10	5.619319e-11
19       	2.637878e-01	1.343751e-10	9.523030e-11	2.093813e-11
32       	1.568510e-01	7.990081e-11	5.662492e-11	1.245003e-11
64       	1.203202e-01	6.129184e-11	4.343693e-11	9.550405e-12
128      	8.384839e-02	4.271287e-11	3.027019e-11	6.655457e-12
256      	5.422622e-02	2.762316e-11	1.957626e-11	4.304200e-12
512      	3.645912e-02	1.857249e-11	1.316215e-11	2.893939e-12
1024     	2.290218e-02	1.166651e-11	8.267939e-12	1.817858e-12
2048     	1.656404e-02	8.437818e-12	5.979799e-12	1.314769e-12
4096     	1.094090e-02	5.573359e-12	3.949785e-12	8.684327e-13
8192     	7.396284e-03	3.767711e-12	2.670140e-12	5.870792e-13
16384    	4.531034e-03	2.308136e-12	1.635753e-12	3.596503e-13
