#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	2.431152e+00	1.238443e-09	8.776728e-10	1.929725e-10
4        	8.300009e-01	4.228074e-10	2.996395e-10	6.588123e-11
8        	4.326383e-01	2.203885e-10	1.561872e-10	3.434061e-11
16       	2.692416e-01	1.371533e-10	9.719918e-11	2.137102e-11
32       	1.833622e-01	9.340579e-11	6.619577e-11	1.455435e-11
64       	1.031535e-01	5.254700e-11	3.723955e-11	8.187798e-12
128      	7.087962e-02	3.610650e-11	2.558832e-11	5.626062e-12
256      	4.425782e-02	2.254520e-11	1.597756e-11	3.512960e-12
512      	3.136426e-02	1.597714e-11	1.132284e-11	2.489535e-12
1024     	2.023399e-02	1.030731e-11	7.304692e-12	1.606071e-12
2048     	1.370139e-02	6.979567e-12	4.946351e-12	1.087546e-12
4096     	9.249990e-03	4.712000e-12	3.339348e-12	7.342169e-13
8192     	6.481219e-03	3.301571e-12	2.339791e-12	5.144461e-13
16384    	4.330538e-03	2.206002e-12	1.563372e-12	3.437360e-13
