#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	4.562900e-01	1.591824e-09	3.714553e-10	6.305288e-11
2        	2.017132e-01	7.037016e-10	1.642101e-10	2.787394e-11
4        	2.127915e-01	7.423497e-10	1.732287e-10	2.940480e-11
8        	1.196221e-01	4.173167e-10	9.738165e-11	1.653010e-11
16       	6.977967e-02	2.434351e-10	5.680604e-11	9.642573e-12
32       	4.276514e-02	1.491915e-10	3.481412e-11	5.909543e-12
64       	3.030584e-02	1.057257e-10	2.467129e-11	4.187843e-12
128      	1.769288e-02	6.172382e-11	1.440337e-11	2.444908e-12
256      	1.272309e-02	4.438607e-11	1.035757e-11	1.758152e-12
512      	7.444854e-03	2.597230e-11	6.060685e-12	1.028774e-12
1024     	5.178288e-03	1.806510e-11	4.215526e-12	7.155668e-13
2048     	3.192007e-03	1.113571e-11	2.598540e-12	4.410906e-13
4096     	2.321445e-03	8.098649e-12	1.889835e-12	3.207911e-13
8192     	1.486122e-03	5.184521e-12	1.209818e-12	2.053612e-13
16384    	1.070683e-03	3.735212e-12	8.716188e-13	1.479534e-13
