#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	9.620082e-01	2.192205e-09	6.572116e-10	1.175299e-10
2        	3.853870e-01	8.782120e-10	2.632834e-10	4.708327e-11
4        	3.199498e-01	7.290951e-10	2.185789e-10	3.908872e-11
8        	2.125526e-01	4.843605e-10	1.452087e-10	2.596785e-11
16       	1.225700e-01	2.793101e-10	8.373570e-11	1.497455e-11
32       	8.189834e-02	1.866283e-10	5.595019e-11	1.000564e-11
64       	5.745945e-02	1.309374e-10	3.925436e-11	7.019903e-12
128      	3.336282e-02	7.602652e-11	2.279235e-11	4.075983e-12
256      	2.377882e-02	5.418670e-11	1.624489e-11	2.905093e-12
512      	1.434804e-02	3.269603e-11	9.802098e-12	1.752921e-12
1024     	8.998905e-03	2.050652e-11	6.147748e-12	1.099409e-12
2048     	5.784501e-03	1.318160e-11	3.951776e-12	7.067007e-13
4096     	3.700015e-03	8.431520e-12	2.527726e-12	4.520361e-13
8192     	2.399675e-03	5.468331e-12	1.639377e-12	2.931717e-13
16384    	1.695947e-03	3.864690e-12	1.158614e-12	2.071963e-13
