#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	9.053568e-01	2.063109e-09	5.310761e-10	9.146519e-11
2        	4.286387e-01	9.767733e-10	2.514366e-10	4.330395e-11
5        	2.656614e-01	6.053837e-10	1.558351e-10	2.683889e-11
8        	1.567291e-01	3.571512e-10	9.193623e-11	1.583382e-11
16       	8.997254e-02	2.050276e-10	5.277728e-11	9.089627e-12
32       	6.202916e-02	1.413508e-10	3.638588e-11	6.266600e-12
64       	3.920015e-02	8.932851e-11	2.299454e-11	3.960261e-12
128      	2.711534e-02	6.178988e-11	1.590567e-11	2.739373e-12
256      	1.683306e-02	3.835884e-11	9.874158e-12	1.700588e-12
512      	1.110722e-02	2.531091e-11	6.515420e-12	1.122126e-12
1024     	7.505372e-03	1.710309e-11	4.402600e-12	7.582428e-13
2048     	4.487841e-03	1.022680e-11	2.632537e-12	4.533916e-13
4096     	3.214293e-03	7.324665e-12	1.885482e-12	3.247293e-13
8192     	2.120956e-03	4.833192e-12	1.244138e-12	2.142732e-13
16384    	1.488072e-03	3.390989e-12	8.728931e-13	1.503350e-13
