#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	3.187710e+00	1.623839e-09	1.024933e-09	2.197400e-10
2        	1.550688e+00	7.899296e-10	4.985871e-10	1.068943e-10
5        	7.538294e-01	3.840052e-10	2.423760e-10	5.196410e-11
8        	5.914555e-01	3.012909e-10	1.901685e-10	4.077110e-11
16       	3.268931e-01	1.665213e-10	1.051048e-10	2.253389e-11
32       	2.519128e-01	1.283259e-10	8.099662e-11	1.736523e-11
64       	1.273832e-01	6.488974e-11	4.095705e-11	8.780967e-12
128      	8.101767e-02	4.127088e-11	2.604932e-11	5.584831e-12
256      	5.608537e-02	2.857022e-11	1.803292e-11	3.866160e-12
512      	3.667325e-02	1.868157e-11	1.179142e-11	2.528015e-12
1024     	2.473430e-02	1.259980e-11	7.952729e-12	1.705022e-12
2048     	1.617631e-02	8.240311e-12	5.201112e-12	1.115090e-12
4096     	1.180921e-02	6.015680e-12	3.796971e-12	8.140499e-13
8192     	7.815218e-03	3.981118e-12	2.512799e-12	5.387303e-13
16384    	5.307451e-03	2.703647e-12	1.706485e-12	3.658611e-13
