#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	1.498298e+00	5.227000e-09	1.036704e-09	1.688050e-10
2        	5.372089e-01	1.874120e-09	3.717060e-10	6.052437e-11
5        	4.105009e-01	1.432084e-09	2.840341e-10	4.624888e-11
8        	2.866635e-01	1.000061e-09	1.983485e-10	3.229680e-11
16       	1.297568e-01	4.526727e-10	8.978142e-11	1.461898e-11
32       	7.975525e-02	2.782361e-10	5.518432e-11	8.985585e-12
64       	5.816697e-02	2.029227e-10	4.024694e-11	6.553352e-12
128      	4.126030e-02	1.439417e-10	2.854886e-11	4.648571e-12
256      	2.480415e-02	8.653237e-11	1.716251e-11	2.794547e-12
512      	1.563898e-02	5.455852e-11	1.082093e-11	1.761958e-12
1024     	1.002969e-02	3.498981e-11	6.939750e-12	1.129990e-12
2048     	7.214232e-03	2.516775e-11	4.991678e-12	8.127878e-13
4096     	4.771428e-03	1.664572e-11	3.301450e-12	5.375705e-13
8192     	3.149680e-03	1.098805e-11	2.179329e-12	3.548571e-13
16384    	2.062298e-03	7.194585e-12	1.426947e-12	2.323478e-13
