#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	3.963597e+00	2.019080e-09	1.274401e-09	2.732246e-10
2        	1.644460e+00	8.376977e-10	5.287373e-10	1.133584e-10
5        	1.086660e+00	5.535511e-10	3.493899e-10	7.490728e-11
8        	5.459541e-01	2.781123e-10	1.755387e-10	3.763453e-11
16       	3.964264e-01	2.019420e-10	1.274616e-10	2.732706e-11
32       	2.737867e-01	1.394686e-10	8.802966e-11	1.887308e-11
64       	1.483633e-01	7.557715e-11	4.770272e-11	1.022720e-11
128      	9.133746e-02	4.652784e-11	2.936740e-11	6.296211e-12
256      	6.355373e-02	3.237465e-11	2.043420e-11	4.380981e-12
512      	4.532693e-02	2.308981e-11	1.457380e-11	3.124544e-12
1024     	3.082191e-02	1.570086e-11	9.910057e-12	2.124662e-12
2048     	1.994457e-02	1.015988e-11	6.412707e-12	1.374849e-12
4096     	1.316761e-02	6.707659e-12	4.233734e-12	9.076895e-13
8192     	8.701817e-03	4.432757e-12	2.797864e-12	5.998467e-13
16384    	5.560752e-03	2.832680e-12	1.787929e-12	3.833221e-13
