#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	1.260199e+00	4.396360e-09	1.025899e-09	1.741418e-10
2        	5.888654e-01	2.054330e-09	4.793819e-10	8.137294e-11
4        	4.544975e-01	1.585571e-09	3.699960e-10	6.280518e-11
8        	2.511878e-01	8.763001e-10	2.044863e-10	3.471064e-11
16       	1.574949e-01	5.494407e-10	1.282130e-10	2.176359e-11
32       	1.182098e-01	4.123895e-10	9.623188e-11	1.633493e-11
64       	6.817908e-02	2.378512e-10	5.550303e-11	9.421394e-12
128      	4.340932e-02	1.514388e-10	3.533853e-11	5.998559e-12
256      	2.677884e-02	9.342133e-11	2.180005e-11	3.700461e-12
512      	2.103575e-02	7.338584e-11	1.712473e-11	2.906846e-12
1024     	1.204583e-02	4.202337e-11	9.806233e-12	1.664565e-12
2048     	7.520917e-03	2.623766e-11	6.122607e-12	1.039285e-12
4096     	5.395923e-03	1.882435e-11	4.392698e-12	7.456410e-13
8192     	3.788697e-03	1.321734e-11	3.084292e-12	5.235448e-13
16384    	2.515109e-03	8.774271e-12	2.047493e-12	3.475528e-13
