#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	7.022398e-01	1.488739e-09	4.655811e-10	8.402137e-11
2        	4.030926e-01	8.545507e-10	2.672481e-10	4.822910e-11
4        	1.952330e-01	4.138912e-10	1.294384e-10	2.335918e-11
8        	1.304946e-01	2.766468e-10	8.651720e-11	1.561338e-11
16       	1.256899e-01	2.664609e-10	8.333173e-11	1.503851e-11
32       	7.450615e-02	1.579520e-10	4.939716e-11	8.914488e-12
64       	4.664799e-02	9.889308e-11	3.092735e-11	5.581324e-12
128      	2.918461e-02	6.187097e-11	1.934923e-11	3.491871e-12
256      	2.037182e-02	4.318798e-11	1.350640e-11	2.437441e-12
512      	1.244226e-02	2.637741e-11	8.249145e-12	1.488687e-12
1024     	8.689148e-03	1.842087e-11	5.760856e-12	1.039636e-12
2048     	5.801793e-03	1.229972e-11	3.846556e-12	6.941711e-13
4096     	3.918898e-03	8.308008e-12	2.598207e-12	4.688870e-13
8192     	2.632002e-03	5.579807e-12	1.745002e-12	3.149129e-13
16384    	1.802727e-03	3.821756e-12	1.195198e-12	2.156921e-13
