#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	1.415393e+00	4.937775e-09	1.152239e-09	1.955875e-10
2        	6.307387e-01	2.200410e-09	5.134699e-10	8.715924e-11
4        	4.493908e-01	1.567756e-09	3.658388e-10	6.209952e-11
8        	2.287810e-01	7.981312e-10	1.862454e-10	3.161433e-11
16       	1.554333e-01	5.422483e-10	1.265347e-10	2.147870e-11
32       	1.057167e-01	3.688059e-10	8.606156e-11	1.460857e-11
64       	7.121280e-02	2.484347e-10	5.797271e-11	9.840611e-12
128      	5.052855e-02	1.762751e-10	4.113414e-11	6.982337e-12
256      	3.007299e-02	1.049134e-10	2.448174e-11	4.155666e-12
512      	2.150396e-02	7.501924e-11	1.750588e-11	2.971546e-12
1024     	1.369753e-02	4.778555e-11	1.115085e-11	1.892807e-12
2048     	8.971991e-03	3.129991e-11	7.303893e-12	1.239803e-12
4096     	5.853944e-03	2.042221e-11	4.765562e-12	8.089330e-13
8192     	4.057818e-03	1.415620e-11	3.303377e-12	5.607336e-13
16384    	2.757167e-03	9.618722e-12	2.244547e-12	3.810019e-13
