#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	7.708774e-01	2.689302e-09	6.275537e-10	1.065244e-10
2        	1.644536e-01	5.737167e-10	1.338779e-10	2.272518e-11
4        	1.983128e-01	6.918389e-10	1.614419e-10	2.740405e-11
8        	1.390558e-01	4.851135e-10	1.132022e-10	1.921556e-11
16       	8.764381e-02	3.057563e-10	7.134882e-11	1.211115e-11
32       	6.060851e-02	2.114403e-10	4.934000e-11	8.375246e-12
64       	3.917927e-02	1.366818e-10	3.189495e-11	5.414026e-12
128      	2.538336e-02	8.855300e-11	2.066401e-11	3.507624e-12
256      	1.465135e-02	5.111308e-11	1.192733e-11	2.024612e-12
512      	9.708568e-03	3.386955e-11	7.903524e-12	1.341588e-12
1024     	6.523231e-03	2.275710e-11	5.310413e-12	9.014190e-13
2048     	4.626024e-03	1.613846e-11	3.765941e-12	6.392517e-13
4096     	2.985328e-03	1.041469e-11	2.430288e-12	4.125305e-13
8192     	2.062973e-03	7.196939e-12	1.679419e-12	2.850740e-13
16384    	1.430389e-03	4.990091e-12	1.164447e-12	1.976597e-13
